unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HEM;novembro;2021;VII;30 a 34;75,00;3;3;2,25
HEM;novembro;2021;VIII;> 34;85,00;2;2;1,70
HEM;dezembro;2021;I;0 a 4;4,00;0;0;0,00
HEM;dezembro;2021;II;5 a 9;8,00;3;0;0,24
HEM;dezembro;2021;III;10 a 14;15,00;7;1;1,05
HEM;dezembro;2021;IV;15 a 19;25,00;22;6;5,50
HEM;dezembro;2021;V;20 a 24;40,00;10;5;4,00
HEM;dezembro;2021;VI;25 a 29;55,00;6;1;3,30
HEM;dezembro;2021;VII;30 a 34;75,00;3;1;2,25
HEM;dezembro;2021;VIII;> 34;85,00;1;1;0,85
HAC;janeiro;2021;I;0 a 4;4,00;0;0;0,00
HAC;janeiro;2021;II;5 a 9;8,00;5;0;0,40
HAC;janeiro;2021;III;10 a 14;15,00;9;0;1,35
HAC;janeiro;2021;IV;15 a 19;25,00;4;1;1,00
HAC;janeiro;2021;V;20 a 24;40,00;11;3;4,40
HAC;janeiro;2021;VI;25 a 29;55,00;3;2;1,65
HAC;janeiro;2021;VII;30 a 34;75,00;0;0;0,00
HAC;janeiro;2021;VIII;> 34;85,00;2;2;1,70
HAC;fevereiro;2021;I;0 a 4;4,00;2;0;0,08
HAC;fevereiro;2021;II;5 a 9;8,00;8;1;0,64
HAC;fevereiro;2021;III;10 a 14;15,00;16;0;2,40
HAC;fevereiro;2021;IV;15 a 19;25,00;6;0;1,50
HAC;fevereiro;2021;V;20 a 24;40,00;1;0;0,40
HAC;fevereiro;2021;VI;25 a 29;55,00;0;0;0,00
HAC;fevereiro;2021;VII;30 a 34;75,00;0;0;0,00
HAC;fevereiro;2021;VIII;> 34;85,00;0;0;0,00
HAC;março;2021;I;0 a 4;4,00;0;0;0,00
HAC;março;2021;II;5 a 9;8,00;9;0;0,72
HAC;março;2021;III;10 a 14;15,00;11;0;1,65
HAC;março;2021;IV;15 a 19;25,00;12;0;3,00
HAC;março;2021;V;20 a 24;40,00;3;0;1,20
HAC;março;2021;VI;25 a 29;55,00;3;1;1,65
HAC;março;2021;VII;30 a 34;75,00;3;1;2,25
HAC;março;2021;VIII;> 34;85,00;1;1;0,85
HAC;abril;2021;I;0 a 4;4,00;0;0;0,00
HAC;abril;2021;II;5 a 9;8,00;5;0;0,40
HAC;abril;2021;III;10 a 14;15,00;13;1;1,95
HAC;abril;2021;IV;15 a 19;25,00;7;1;1,75
